Frame_length_stored_into_the_capture_file_per_100msec,Length_per_100msec,L2CAP_count_per_100msec,HCI_ACL_count_per_100msec,HCI_CMD_count_per_100msec,HCI_EVT_count_per_100msec,Received_count_per_100msec,Sent_count_per_100msec,ACL_Data_count_per_100msec,HCI_Evnt_count_per_100msec,Unknown_count_per_100msec,Master_count_per_100msec,Slave_count_per_100msec,ubuntu_count_per_100msec,Destination_BDADDR_count_per_100msec,Source_BDADDR_count_per_100msec,ubuntu_count_per_100msec,Read_RSSI_count_per_100msec,Read_Tx_Power_Level_count_per_100msec,Read_Link_Quality_count_per_100msec,Command_Complete_count_per_100msec,Disconnect_complete_count_per_100msec,Label
611.73,543.9,5.18,0,0.03,2.62,5.21,2.62,5.18,2.62,0,2.59,2.59,0,108.78,142.45,0,0.01,0.01,0,52.85,0,0
604.65,537.6,5.12,0,0.03,2.59,5.15,2.59,5.12,2.59,0,2.56,2.56,0,107.52,140.8,0,0.01,0.01,0,55.85,0,0
605.95,538.65,5.13,0,0.03,2.61,5.17,2.6,5.13,2.61,0,2.56,2.57,0,107.74,141.06,0,0.01,0.01,0,58.85,0,0
565.59,502.95,4.79,0,0.03,2.41,4.81,2.42,4.79,2.41,0,2.4,2.39,0,100.58,131.74,0,0.01,0.01,0,61.85,0,0
550.37,489.3,4.66,0,0.03,2.36,4.69,2.36,4.66,2.36,0,2.33,2.33,0,97.86,128.15,0,0.01,0.01,0,64.84,0,0
571.61,508.2,4.84,0,0.03,2.45,4.87,2.45,4.84,2.45,0,2.42,2.42,0,101.64,133.1,0,0.01,0.01,0,67.84,0,0
599.93,533.4,5.08,0,0.03,2.57,5.11,2.57,5.08,2.57,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,70.84,0,0
583.41,518.7,4.94,0,0.03,2.5,4.97,2.5,4.94,2.5,0,2.47,2.47,0,103.74,135.85,0,0.01,0.01,0,73.85,0,0
587.07,521.85,4.97,0,0.03,2.53,5.01,2.52,4.97,2.53,0,2.48,2.49,0,104.38,136.66,0,0.01,0.01,0,76.83,0,0
599.93,533.4,5.08,0,0.03,2.57,5.11,2.57,5.08,2.57,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,79.84,0,0
592.69,527.1,5.02,0,0.03,2.52,5.03,2.54,5.02,2.52,0,2.51,2.51,0,105.42,138.05,0,0.01,0.01,0,82.83,0,0
604.43,537.37,5.11,0.02,0.03,2.59,5.17,2.58,5.13,2.59,0,2.58,2.55,0,107.7,141.12,0,0.01,0.01,0,85.82,0,0
596.05,530.04,5.04,0,0.03,2.55,5.07,2.55,5.04,2.55,0,2.52,2.52,0,105.84,138.6,0,0.01,0.01,0,88.82,0,0
593.69,527.94,5.02,0,0.03,2.54,5.05,2.54,5.02,2.54,0,2.51,2.51,0,105.42,138.05,0,0.01,0.01,0,91.82,0,0
607.87,540.56,5.14,0,0.03,2.6,5.17,2.6,5.14,2.6,0,2.57,2.57,0,107.94,141.35,0,0.01,0.01,0,94.81,0,0
610.15,542.66,5.16,0,0.03,2.6,5.18,2.61,5.16,2.6,0,2.58,2.58,0,108.36,141.9,0,0.01,0.01,0,97.81,0,0
599.71,533.19,5.07,0,0.03,2.58,5.11,2.57,5.07,2.58,0,2.53,2.54,0,106.48,139.41,0,0.01,0.01,0,100.82,0,0
617.33,548.98,5.22,0,0.03,2.64,5.25,2.64,5.22,2.64,0,2.61,2.61,0,109.62,143.55,0,0.01,0.01,0,103.82,0,0
620.81,552.11,5.25,0,0.03,2.65,5.28,2.65,5.25,2.65,0,2.63,2.62,0,110.24,144.39,0,0.01,0.01,0,106.81,0,0
614.97,546.88,5.2,0,0.03,2.63,5.23,2.63,5.2,2.63,0,2.6,2.6,0,109.2,143,0,0.01,0.01,0,109.82,0,0
619.67,551.06,5.24,0,0.03,2.65,5.27,2.65,5.24,2.65,0,2.62,2.62,0,110.04,144.1,0,0.01,0.01,0,112.81,0,0
593.69,527.94,5.02,0,0.03,2.54,5.05,2.54,5.02,2.54,0,2.51,2.51,0,105.42,138.05,0,0.01,0.01,0,115.81,0,0
581.8,517.35,4.92,0,0.03,2.49,4.95,2.49,4.92,2.49,0,2.46,2.46,0,103.32,135.3,0,0.01,0.01,0,118.81,0,0
600.66,534.13,5.08,0,0.03,2.57,5.11,2.57,5.08,2.57,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,121.8,0,0
586.39,521.5,4.96,0,0.03,2.5,4.98,2.51,4.96,2.5,0,2.48,2.48,0,104.16,136.4,0,0.01,0.01,0,124.81,0,0
585.43,520.47,4.95,0,0.03,2.52,4.99,2.51,4.95,2.52,0,2.47,2.48,0,103.96,136.11,0,0.01,0.01,0,127.79,0,0
577.01,513.08,4.88,0,0.03,2.47,4.91,2.47,4.88,2.47,0,2.44,2.44,0,102.48,134.2,0,0.01,0.01,0,130.79,0,0
625.43,556.21,5.29,0,0.03,2.67,5.32,2.67,5.29,2.67,0,2.65,2.64,0,111.08,145.49,0,0.01,0.01,0,133.78,0,0
617.3,548.85,5.22,0.02,0.03,2.64,5.27,2.64,5.24,2.64,0,2.63,2.61,0,110.02,144.13,0,0.01,0.01,0,136.79,0,0
616.06,547.8,5.21,0,0.03,2.64,5.24,2.64,5.21,2.64,0,2.6,2.61,0,109.42,143.26,0,0.01,0.01,0,139.78,0,0
612.39,544.56,5.18,0,0.03,2.62,5.21,2.62,5.18,2.62,0,2.59,2.59,0,108.78,142.45,0,0.01,0.01,0,142.78,0,0
605.37,538.24,5.12,0,0.03,2.6,5.16,2.59,5.12,2.6,0,2.56,2.56,0,107.52,140.8,0,0.01,0.01,0,145.78,0,0
631.19,561.36,5.34,0,0.03,2.69,5.36,2.7,5.34,2.69,0,2.67,2.67,0,112.14,146.85,0,0.01,0.01,0,148.78,0,0
619.47,550.86,5.24,0,0.03,2.65,5.27,2.65,5.24,2.65,0,2.62,2.62,0,110.04,144.1,0,0.01,0.01,0,151.78,0,0
611.15,543.49,5.17,0,0.03,2.61,5.2,2.61,5.17,2.61,0,2.59,2.58,0,108.56,142.19,0,0.01,0.01,0,154.78,0,0
620.69,551.91,5.25,0,0.03,2.66,5.28,2.66,5.25,2.66,0,2.62,2.63,0,110.26,144.36,0,0.01,0.01,0,157.77,0,0
613.51,545.59,5.19,0,0.03,2.62,5.22,2.62,5.19,2.62,0,2.6,2.59,0,108.98,142.74,0,0.01,0.01,0,160.77,0,0
614.67,546.66,5.2,0,0.03,2.62,5.22,2.63,5.2,2.62,0,2.6,2.6,0,109.2,143,0,0.01,0.01,0,163.77,0,0
600.64,534.03,5.08,0,0.03,2.58,5.12,2.57,5.08,2.58,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,166.78,0,0
601.78,535.08,5.09,0,0.03,2.58,5.12,2.58,5.09,2.58,0,2.54,2.55,0,106.9,139.96,0,0.01,0.01,0,169.76,0,0
598.21,531.94,5.06,0,0.03,2.56,5.09,2.56,5.06,2.56,0,2.53,2.53,0,106.26,139.15,0,0.01,0.01,0,172.76,0,0
620.61,551.91,5.25,0,0.03,2.65,5.28,2.65,5.25,2.65,0,2.63,2.62,0,110.24,144.39,0,0.01,0.01,0,175.76,0,0
603.03,536.14,5.1,0.02,0.03,2.58,5.15,2.58,5.12,2.58,0,2.57,2.55,0,107.5,140.83,0,0.01,0.01,0,178.76,0,0
612.29,544.54,5.18,0,0.03,2.61,5.2,2.62,5.18,2.61,0,2.59,2.59,0,108.78,142.45,0,0.01,0.01,0,181.73,0,0
600.65,534.04,5.08,0,0.03,2.58,5.12,2.57,5.08,2.58,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,184.76,0,0
619.46,550.85,5.24,0,0.03,2.65,5.27,2.65,5.24,2.65,0,2.62,2.62,0,110.04,144.1,0,0.01,0.01,0,187.76,0,0
607.66,540.35,5.14,0,0.03,2.6,5.17,2.6,5.14,2.6,0,2.57,2.57,0,107.94,141.35,0,0.01,0.01,0,190.76,0,0
617.09,548.74,5.22,0,0.03,2.64,5.25,2.64,5.22,2.64,0,2.61,2.61,0,109.62,143.55,0,0.01,0.01,0,193.76,0,0
608.95,541.39,5.15,0,0.03,2.62,5.19,2.61,5.15,2.62,0,2.57,2.58,0,108.16,141.61,0,0.01,0.01,0,196.75,0,0
618.17,549.81,5.23,0,0.03,2.63,5.25,2.64,5.23,2.63,0,2.62,2.61,0,109.82,143.84,0,0.01,0.01,0,199.75,0,0
602.85,536.14,5.1,0,0.03,2.57,5.12,2.58,5.1,2.57,0,2.55,2.55,0,107.1,140.25,0,0.01,0.01,0,202.75,0,0
619.47,550.86,5.24,0,0.03,2.65,5.27,2.65,5.24,2.65,0,2.62,2.62,0,110.04,144.1,0,0.01,0.01,0,205.75,0,0
617.09,548.74,5.22,0,0.03,2.64,5.25,2.64,5.22,2.64,0,2.61,2.61,0,109.62,143.55,0,0.01,0.01,0,208.76,0,0
601.95,535.09,5.09,0,0.03,2.6,5.14,2.58,5.09,2.6,0,2.54,2.55,0,106.9,139.96,0,0.01,0.01,0,211.75,0,0
603.99,537.19,5.11,0,0.03,2.57,5.13,2.58,5.11,2.57,0,2.56,2.55,0,107.3,140.54,0,0.01,0.01,0,214.75,0,0
626.65,557.16,5.3,0.02,0.03,2.68,5.35,2.68,5.32,2.68,0,2.67,2.65,0,111.7,146.33,0,0.01,0.01,0,217.75,0,0
588.75,523.52,4.98,0,0.03,2.52,5.01,2.52,4.98,2.52,0,2.49,2.49,0,104.58,136.95,0,0.01,0.01,0,220.75,0,0
604.25,537.19,5.11,0.02,0.03,2.59,5.16,2.59,5.13,2.59,0,2.57,2.56,0,107.72,141.09,0,0.01,0.01,0,223.75,0,0
596.99,530.89,5.05,0,0.03,2.55,5.08,2.55,5.05,2.55,0,2.53,2.52,0,106.04,138.89,0,0.01,0.01,0,226.74,0,0
607.65,540.34,5.14,0,0.03,2.6,5.17,2.6,5.14,2.6,0,2.57,2.57,0,107.94,141.35,0,0.01,0.01,0,229.74,0,0
600.57,534.04,5.08,0,0.03,2.57,5.11,2.57,5.08,2.57,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,232.74,0,0
589.97,524.57,4.99,0,0.03,2.53,5.02,2.53,4.99,2.53,0,2.49,2.5,0,104.8,137.21,0,0.01,0.01,0,235.73,0,0
596.98,530.88,5.05,0,0.03,2.55,5.08,2.55,5.05,2.55,0,2.53,2.52,0,106.04,138.89,0,0.01,0.01,0,238.73,0,0
607.66,540.35,5.14,0,0.03,2.6,5.17,2.6,5.14,2.6,0,2.57,2.57,0,107.94,141.35,0,0.01,0.01,0,241.72,0,0
613.67,545.59,5.19,0,0.03,2.64,5.23,2.63,5.19,2.64,0,2.59,2.6,0,109,142.71,0,0.01,0.01,0,244.72,0,0
613.44,545.6,5.19,0,0.03,2.61,5.21,2.62,5.19,2.61,0,2.6,2.59,0,108.98,142.74,0,0.01,0.01,0,247.73,0,0
614.74,546.65,5.2,0,0.03,2.63,5.23,2.63,5.2,2.63,0,2.6,2.6,0,109.2,143,0,0.01,0.01,0,250.72,0,0
614.74,546.65,5.2,0,0.03,2.63,5.23,2.63,5.2,2.63,0,2.6,2.6,0,109.2,143,0,0.01,0.01,0,253.72,0,0
621.82,552.95,5.26,0,0.03,2.66,5.29,2.66,5.26,2.66,0,2.63,2.63,0,110.46,144.65,0,0.01,0.01,0,256.72,0,0
612.39,544.56,5.18,0,0.03,2.62,5.21,2.62,5.18,2.62,0,2.59,2.59,0,108.78,142.45,0,0.01,0.01,0,259.72,0,0
588.75,523.52,4.98,0,0.03,2.52,5.01,2.52,4.98,2.52,0,2.49,2.49,0,104.58,136.95,0,0.01,0.01,0,262.72,0,0
579.38,515.11,4.9,0,0.03,2.49,4.94,2.48,4.9,2.49,0,2.45,2.45,0,102.9,134.75,0,0.01,0.01,0,265.7,0,0
583.94,519.31,4.94,0,0.03,2.49,4.96,2.5,4.94,2.49,0,2.47,2.47,0,103.74,135.85,0,0.01,0.01,0,268.7,0,0
595.9,529.84,5.04,0.01,0.03,2.55,5.08,2.55,5.05,2.55,0,2.53,2.52,0,106.04,138.89,0,0.01,0.01,0,271.7,0,0
593.47,527.72,5.02,0,0.03,2.54,5.05,2.54,5.02,2.54,0,2.51,2.51,0,105.42,138.05,0,0.01,0.01,0,274.7,0,0
600.77,534.24,5.08,0,0.03,2.57,5.11,2.57,5.08,2.57,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,277.7,0,0
596.33,530.32,5.04,0,0.03,2.55,5.07,2.55,5.04,2.55,0,2.52,2.52,0,105.84,138.6,0,0.01,0.01,0,280.7,0,0
612.87,545.04,5.18,0,0.03,2.62,5.21,2.62,5.18,2.62,0,2.59,2.59,0,108.78,142.45,0,0.01,0.01,0,283.7,0,0
612.81,545.06,5.18,0,0.03,2.61,5.2,2.62,5.18,2.61,0,2.59,2.59,0,108.78,142.45,0,0.01,0.01,0,286.69,0,0
603.5,536.63,5.1,0,0.03,2.59,5.14,2.58,5.1,2.59,0,2.55,2.55,0,107.1,140.25,0,0.01,0.01,0,289.69,0,0
576.1,512.34,4.87,0,0.03,2.46,4.89,2.47,4.87,2.46,0,2.43,2.44,0,102.28,133.91,0,0.01,0.01,0,292.68,0,0
599.81,533.37,5.07,0,0.03,2.57,5.11,2.56,5.07,2.57,0,2.54,2.53,0,106.46,139.44,0,0.01,0.01,0,295.69,0,0
605.67,538.62,5.12,0,0.03,2.59,5.15,2.59,5.12,2.59,0,2.56,2.56,0,107.52,140.8,0,0.01,0.01,0,298.69,0,0
584.41,519.7,4.94,0,0.03,2.5,4.97,2.5,4.94,2.5,0,2.47,2.47,0,103.74,135.85,0,0.01,0.01,0,301.7,0,0
605.67,538.62,5.12,0,0.03,2.59,5.15,2.59,5.12,2.59,0,2.56,2.56,0,107.52,140.8,0,0.01,0.01,0,304.67,0,0
597.47,531.27,5.05,0.02,0.03,2.55,5.09,2.56,5.07,2.55,0,2.54,2.53,0,106.46,139.44,0,0.01,0.01,0,307.67,0,0
601.01,534.4,5.08,0,0.03,2.58,5.12,2.57,5.08,2.58,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,310.67,0,0
625.73,556.51,5.29,0,0.03,2.67,5.32,2.67,5.29,2.67,0,2.65,2.64,0,111.08,145.49,0,0.01,0.01,0,313.67,0,0
597.45,531.27,5.05,0,0.03,2.56,5.08,2.56,5.05,2.56,0,2.52,2.53,0,106.06,138.86,0,0.01,0.01,0,316.67,0,0
599.81,533.35,5.07,0.02,0.03,2.56,5.12,2.56,5.09,2.56,0,2.56,2.53,0,106.86,140.02,0,0.01,0.01,0,319.67,0,0
597.45,531.27,5.05,0,0.03,2.56,5.08,2.56,5.05,2.56,0,2.52,2.53,0,106.06,138.86,0,0.01,0.01,0,322.66,0,0
628.09,558.61,5.31,0,0.03,2.68,5.34,2.68,5.31,2.68,0,2.66,2.65,0,111.5,146.04,0,0.01,0.01,0,325.66,0,0
619.85,551.24,5.24,0,0.03,2.65,5.27,2.65,5.24,2.65,0,2.62,2.62,0,110.04,144.1,0,0.01,0.01,0,328.66,0,0
603.32,536.53,5.1,0,0.03,2.58,5.13,2.58,5.1,2.58,0,2.55,2.55,0,107.1,140.25,0,0.01,0.01,0,331.66,0,0
617.5,549.15,5.22,0,0.03,2.64,5.25,2.64,5.22,2.64,0,2.61,2.61,0,109.62,143.55,0,0.01,0.01,0,334.66,0,0
608.03,540.72,5.14,0,0.03,2.6,5.17,2.6,5.14,2.6,0,2.57,2.57,0,107.94,141.35,0,0.01,0.01,0,337.66,0,0
619.86,551.25,5.24,0,0.03,2.65,5.27,2.65,5.24,2.65,0,2.62,2.62,0,110.04,144.1,0,0.01,0.01,0,340.64,0,0
619.86,551.25,5.24,0,0.03,2.65,5.27,2.65,5.24,2.65,0,2.62,2.62,0,110.04,144.1,0,0.01,0.01,0,343.64,0,0
605.67,538.62,5.12,0,0.03,2.59,5.15,2.59,5.12,2.59,0,2.56,2.56,0,107.52,140.8,0,0.01,0.01,0,346.64,0,0
617.33,549.14,5.22,0,0.03,2.62,5.23,2.64,5.22,2.62,0,2.61,2.61,0,109.62,143.55,0,0.01,0.01,0,349.64,0,0
605.75,538.62,5.12,0,0.03,2.6,5.16,2.59,5.12,2.6,0,2.56,2.56,0,107.52,140.8,0,0.01,0.01,0,352.64,0,0
599.89,533.37,5.07,0,0.03,2.58,5.11,2.57,5.07,2.58,0,2.53,2.54,0,106.48,139.41,0,0.01,0.01,0,355.64,0,0
593.85,528.1,5.02,0,0.03,2.54,5.05,2.54,5.02,2.54,0,2.51,2.51,0,105.42,138.05,0,0.01,0.01,0,358.64,0,0
599.73,533.37,5.07,0,0.03,2.56,5.1,2.56,5.07,2.56,0,2.54,2.53,0,106.46,139.44,0,0.01,0.01,0,361.63,0,0
334.19,292.29,2.85,0.04,0.08,1.58,3.09,1.46,2.89,1.58,0,1.51,1.38,0,60.56,79.67,0,0.01,0.01,0,364.63,0.47,0
75.42,66.78,0.63,0,0.03,0.34,0.66,0.34,0.63,0.34,0,0.32,0.31,0,13.22,17.34,0,0.01,0.01,0,368.77,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,369,1,0
73.22,64.66,0.61,0.02,0.03,0.34,0.67,0.33,0.63,0.34,0,0.33,0.3,0,13.2,17.37,0,0.01,0.01,0,370.34,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,372,1,0
74.35,65.72,0.62,0,0.03,0.35,0.66,0.34,0.62,0.35,0,0.31,0.31,0,13.02,17.05,0,0.01,0.01,0,372.31,1,0
79.69,71.02,0.67,0,0,0.33,0.67,0.33,0.67,0.33,0,0.34,0.33,0,14.06,18.44,0,0,0,0,375,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,375,1,0
74.35,65.72,0.62,0,0.03,0.35,0.66,0.34,0.62,0.35,0,0.31,0.31,0,13.02,17.05,0,0.01,0.01,0,377.25,1,0
79.69,71.02,0.67,0,0,0.33,0.67,0.33,0.67,0.33,0,0.34,0.33,0,14.06,18.44,0,0,0,0,378,1,0
75.42,66.78,0.63,0,0.03,0.34,0.65,0.35,0.63,0.34,0,0.31,0.32,0,13.24,17.31,0,0.01,0.01,0,378.95,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,381,1,0
78.6,69.96,0.66,0,0.01,0.33,0.66,0.34,0.66,0.33,0,0.33,0.33,0,13.86,18.15,0,0.01,0,0,381,1,0
76.51,67.84,0.64,0,0.02,0.34,0.66,0.34,0.64,0.34,0,0.32,0.32,0,13.44,17.6,0,0,0.01,0,383.89,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,384,1,0
75.42,66.78,0.63,0,0.03,0.34,0.66,0.34,0.63,0.34,0,0.32,0.31,0,13.22,17.34,0,0.01,0.01,0,385.69,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,387,1,0
74.35,65.72,0.62,0,0.03,0.35,0.66,0.34,0.62,0.35,0,0.31,0.31,0,13.02,17.05,0,0.01,0.01,0,387.79,1,0
78.56,69.96,0.66,0.02,0,0.32,0.67,0.33,0.68,0.32,0,0.35,0.33,0,14.26,18.73,0,0,0,0,390,1,0
79.69,71.02,0.67,0,0,0.33,0.67,0.33,0.67,0.33,0,0.34,0.33,0,14.06,18.44,0,0,0,0,390,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,390,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,390,1,0
75.42,66.78,0.63,0,0.03,0.34,0.66,0.34,0.63,0.34,0,0.32,0.31,0,13.22,17.34,0,0.01,0.01,0,392.23,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,393,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,393,1,0
79.69,71.02,0.67,0,0,0.33,0.67,0.33,0.67,0.33,0,0.34,0.33,0,14.06,18.44,0,0,0,0,393,1,0
75.42,66.78,0.63,0,0.03,0.34,0.66,0.34,0.63,0.34,0,0.32,0.31,0,13.22,17.34,0,0.01,0.01,0,393.62,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,396,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,396,1,0
79.69,71.02,0.67,0,0,0.33,0.67,0.33,0.67,0.33,0,0.34,0.33,0,14.06,18.44,0,0,0,0,396,1,0
75.42,66.78,0.63,0,0.03,0.34,0.65,0.35,0.63,0.34,0,0.31,0.32,0,13.24,17.31,0,0.01,0.01,0,397.42,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,399,1,0
79.69,71.02,0.67,0,0,0.33,0.67,0.33,0.67,0.33,0,0.34,0.33,0,14.06,18.44,0,0,0,0,399,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,399,1,0
74.35,65.72,0.62,0,0.03,0.35,0.66,0.34,0.62,0.35,0,0.31,0.31,0,13.02,17.05,0,0.01,0.01,0,401.27,1,0
79.69,71.02,0.67,0,0,0.33,0.67,0.33,0.67,0.33,0,0.34,0.33,0,14.06,18.44,0,0,0,0,402,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,402,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,402,1,0
75.4,66.78,0.63,0,0.03,0.34,0.66,0.34,0.63,0.34,0,0.32,0.31,0,13.22,17.34,0,0.01,0.01,0,402.09,1,0
78.64,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,404.96,1,0
79.69,71.02,0.67,0,0,0.33,0.66,0.34,0.67,0.33,0,0.33,0.34,0,14.08,18.41,0,0,0,0,405,1,0
78.62,69.96,0.66,0,0,0.34,0.67,0.33,0.66,0.34,0,0.33,0.33,0,13.86,18.15,0,0,0,0,405,1,0
238,212,2,0,0,1,2,1,2,1,0,1,1,0,42,55,0,0,0,0,405,1,0
527.62,469.58,4.43,0,0.03,2.24,4.46,2.24,4.43,2.24,0,2.22,2.21,0,93.02,121.84,0,0.01,0.01,0,407.8,1,0
530.08,471.7,4.45,0,0.03,2.26,4.48,2.26,4.45,2.26,0,2.22,2.23,0,93.46,122.36,0,0.01,0.01,0,410.8,1,0
526.47,468.52,4.42,0,0.03,2.24,4.45,2.24,4.42,2.24,0,2.21,2.21,0,92.82,121.55,0,0.01,0.01,0,413.81,1,0
534.68,475.94,4.49,0,0.03,2.26,4.51,2.27,4.49,2.26,0,2.25,2.24,0,94.28,123.49,0,0.01,0.01,0,416.8,1,0
605.01,538.48,5.08,0,0.03,2.57,5.11,2.57,5.08,2.57,0,2.54,2.54,0,106.68,139.7,0,0.01,0.01,0,419.8,1,0
613.3,545.9,5.15,0,0.03,2.6,5.17,2.61,5.15,2.6,0,2.57,2.58,0,108.16,141.61,0,0.01,0.01,0,422.8,1,0
577.68,514.1,4.85,0,0.03,2.46,4.89,2.45,4.85,2.46,0,2.43,2.42,0,101.84,133.39,0,0.01,0.01,0,425.8,1,0
560.15,498.2,4.7,0.04,0.03,2.4,4.79,2.38,4.74,2.4,0,2.39,2.35,0,99.5,130.41,0,0.01,0.01,0,428.8,1,0
588.19,523.64,4.94,0,0.03,2.48,4.95,2.5,4.94,2.48,0,2.47,2.47,0,103.74,135.85,0,0.01,0.01,0,431.8,1,0
